wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.109573104517466213e-02
5.642911115131238331e-01 2.109798285521912245e-02
5.870013853248688962e-01 2.121152538767506410e-02
6.125336538486810811e-01 2.109333655803747806e-02
6.414632903800252528e-01 2.108862130418682340e-02
6.744894291825173083e-01 2.108712342783898921e-02
7.125002536859746938e-01 2.109019542709402936e-02
7.565867704389196424e-01 2.110861273659475276e-02
8.080589516220738622e-01 2.109512743245039318e-02
8.683979561272089365e-01 2.108730032710147764e-02
9.390888561581521854e-01 2.111189444286401887e-02
1.021271966702864686e+00 2.108955110493069066e-02
1.115214937628433267e+00 2.115206557760460418e-02
1.219857922129905070e+00 2.113183789218162079e-02
1.332792235997658281e+00 2.123210701842880715e-02
1.450845292184156810e+00 2.156685406289490445e-02
1.570915581062646504e+00 2.117926839192024735e-02
1.690554234347835028e+00 2.111171108927990467e-02
1.808123132405085043e+00 2.136731919993611548e-02
1.922676892879574773e+00 2.146829205485351055e-02
2.033758224300399764e+00 2.133206580874671965e-02
2.141219707059230259e+00 2.116001663343713632e-02
2.236615816101174214e+00 2.114329539814957873e-02
2.320762858197661593e+00 2.111101821451154270e-02
2.402598987851862322e+00 2.126079291660361650e-02
2.482235071085236111e+00 2.168649541809583581e-02
2.559787358519741929e+00 2.181226130433480334e-02
2.635367836489433735e+00 2.181142476643506065e-02
2.709086890079174026e+00 2.172986340797996782e-02
2.781048130202715463e+00 2.209219827853538265e-02
2.851349759721366173e+00 2.229380881150844901e-02
2.920082815573841639e+00 2.204794492911485437e-02
2.987332517536573917e+00 2.170587939561853877e-02
3.053177443896525567e+00 2.161897785725404308e-02
3.117690925020495829e+00 2.149855908999474124e-02
3.180940774616039857e+00 2.143930121070233147e-02
3.242989937317803939e+00 2.134808972077107889e-02
3.303896834397137550e+00 2.124552713719348937e-02
3.363715371277618438e+00 2.129688964870533191e-02
3.422496112621693953e+00 2.130233859930719814e-02
3.480285633826453839e+00 2.132764136207601635e-02
3.537128066258332204e+00 2.122717293760792087e-02
3.593063403617509977e+00 2.120912429407340039e-02
3.648130107928447607e+00 2.120986064429593657e-02
3.702363465678729426e+00 2.120427496713718496e-02
3.755797137841150324e+00 2.114951931788374567e-02
3.808461836380983900e+00 2.115542928592970690e-02
3.860387224649882487e+00 2.112298108247945630e-02
3.911600080487440234e+00 2.111396668866068194e-02
3.962127205300935540e+00 2.112331712969690162e-02
4.011992704145277422e+00 2.115662906005798261e-02
4.061219658306713498e+00 2.119230210045626450e-02
4.109830016813260656e+00 2.124772793890046182e-02
4.157843163178149837e+00 2.129904062190511593e-02
4.205280109337573791e+00 2.123796896424156797e-02
4.252158072291102542e+00 2.129097201606057824e-02
4.298495508027899703e+00 2.128691921641381185e-02
4.344308416476979851e+00 2.133934835856715617e-02
4.389612736036864860e+00 2.129823625089760641e-02
4.434423467071558100e+00 2.138426566781660015e-02
4.478754942505024594e+00 2.142868298074166247e-02
4.522620850310969942e+00 2.133479163904868428e-02
4.566034007875804157e+00 2.135062207336914722e-02
4.609006842149123706e+00 2.129201476450751432e-02
4.651551483140882404e+00 2.134605673839351167e-02
4.693678774163734246e+00 2.140097561206714266e-02
4.735399926148511796e+00 2.145636682083595231e-02
4.776725261917027510e+00 2.142054240562590514e-02
4.817664614799937794e+00 2.161170335450379731e-02
4.858227506593395972e+00 2.132132908017880801e-02
4.898423151543096488e+00 2.124323046935839079e-02
4.938260286581308556e+00 2.151253804973165401e-02
4.977747382468072246e+00 2.141210006865731236e-02
