wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.130669044392407771e-02
5.642911115131238331e-01 2.131085745615777724e-02
5.870013853248688962e-01 2.145032987351716894e-02
6.125336538486810811e-01 2.130524319648210638e-02
6.414632903800252528e-01 2.129877380701037173e-02
6.744894291825173083e-01 2.129684228927176612e-02
7.125002536859746938e-01 2.129671485520040833e-02
7.565867704389196424e-01 2.132544596677823576e-02
8.080589516220738622e-01 2.129684323413411420e-02
8.683979561272089365e-01 2.129382567343487270e-02
9.390888561581521854e-01 2.129361831306280164e-02
1.021271966702864686e+00 2.129298406737876667e-02
1.115214937628433267e+00 2.129461907026210590e-02
1.219857922129905070e+00 2.129363061131005555e-02
1.332792235997658281e+00 2.129844727976591690e-02
1.450845292184156810e+00 2.131051541237909477e-02
1.570915581062646504e+00 2.130356149989129713e-02
1.690554234347835028e+00 2.129630927504226959e-02
1.808123132405085043e+00 2.130621748989778436e-02
1.922676892879574773e+00 2.133169069127313980e-02
2.033758224300399764e+00 2.131194717051575205e-02
2.141219707059230259e+00 2.129986417827181219e-02
2.236615816101174214e+00 2.129922040778581618e-02
2.320762858197661593e+00 2.130395593684523622e-02
2.402598987851862322e+00 2.160003839020618877e-02
2.482235071085236111e+00 2.151955640207600315e-02
2.559787358519741929e+00 2.152386756836974571e-02
2.635367836489433735e+00 2.144218191065152060e-02
2.709086890079174026e+00 2.145113770110415943e-02
2.781048130202715463e+00 2.162219940376346183e-02
2.851349759721366173e+00 2.157490807719213144e-02
2.920082815573841639e+00 2.153832223070164392e-02
2.987332517536573917e+00 2.136278176777494167e-02
3.053177443896525567e+00 2.134319795459219474e-02
3.117690925020495829e+00 2.136104698796314344e-02
3.180940774616039857e+00 2.135352979873793994e-02
3.242989937317803939e+00 2.133399319153854098e-02
3.303896834397137550e+00 2.133403479594292093e-02
3.363715371277618438e+00 2.134706675657337127e-02
3.422496112621693953e+00 2.133091456722293819e-02
3.480285633826453839e+00 2.135250184234654264e-02
3.537128066258332204e+00 2.137354947167929148e-02
3.593063403617509977e+00 2.135944300127801815e-02
3.648130107928447607e+00 2.133908414805714762e-02
3.702363465678729426e+00 2.138668548775920705e-02
3.755797137841150324e+00 2.134075549692732859e-02
3.808461836380983900e+00 2.135059393419550325e-02
3.860387224649882487e+00 2.132002243936031299e-02
3.911600080487440234e+00 2.131531299928100115e-02
3.962127205300935540e+00 2.131862281551804433e-02
4.011992704145277422e+00 2.132279896153791224e-02
4.061219658306713498e+00 2.131980671421835824e-02
4.109830016813260656e+00 2.132647488825628254e-02
4.157843163178149837e+00 2.132080320402312060e-02
4.205280109337573791e+00 2.133696307888212004e-02
4.252158072291102542e+00 2.133188255908599965e-02
4.298495508027899703e+00 2.132614132544266919e-02
4.344308416476979851e+00 2.133251291097515781e-02
4.389612736036864860e+00 2.137804708309199234e-02
4.434423467071558100e+00 2.150164410887601615e-02
4.478754942505024594e+00 2.154639426223136159e-02
4.522620850310969942e+00 2.147037893026938413e-02
4.566034007875804157e+00 2.166566714295857510e-02
4.609006842149123706e+00 2.151708928855795150e-02
4.651551483140882404e+00 2.135674877059610954e-02
4.693678774163734246e+00 2.149984039573069744e-02
4.735399926148511796e+00 2.156938843684867713e-02
4.776725261917027510e+00 2.163691419049541126e-02
4.817664614799937794e+00 2.190437006072962906e-02
4.858227506593395972e+00 2.149548757973250568e-02
4.898423151543096488e+00 2.136512643227947081e-02
4.938260286581308556e+00 2.170680454794710057e-02
4.977747382468072246e+00 2.151537376561760487e-02
