wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.045202648822616251e-02
5.642911115131238331e-01 2.047613529358956533e-02
5.870013853248688962e-01 2.071797453050899102e-02
6.125336538486810811e-01 2.047189326979180837e-02
6.414632903800252528e-01 2.044836174142154392e-02
6.744894291825173083e-01 2.044611504667100815e-02
7.125002536859746938e-01 2.052305433588378497e-02
7.565867704389196424e-01 2.054572538963187270e-02
8.080589516220738622e-01 2.054541488552729528e-02
8.683979561272089365e-01 2.050788117476122496e-02
9.390888561581521854e-01 2.076310915928455611e-02
1.021271966702864686e+00 2.057016033501089455e-02
1.115214937628433267e+00 2.087756234165804442e-02
1.219857922129905070e+00 2.079847613397012296e-02
1.332792235997658281e+00 2.098783405344784025e-02
1.450845292184156810e+00 2.163212284928707485e-02
1.570915581062646504e+00 2.104564238769843221e-02
1.690554234347835028e+00 2.070740826282117808e-02
1.808123132405085043e+00 2.124504865644778404e-02
1.922676892879574773e+00 2.156004444493200833e-02
2.033758224300399764e+00 2.149726236636408105e-02
2.141219707059230259e+00 2.101579196888240034e-02
2.236615816101174214e+00 2.083610638751452748e-02
2.320762858197661593e+00 2.071409916813435337e-02
2.402598987851862322e+00 2.138450737186599337e-02
2.482235071085236111e+00 2.164206369836818231e-02
2.559787358519741929e+00 2.187423076358054400e-02
2.635367836489433735e+00 2.204371721030770268e-02
2.709086890079174026e+00 2.241638977215644132e-02
2.781048130202715463e+00 2.254190300901208824e-02
2.851349759721366173e+00 2.254969566673807255e-02
2.920082815573841639e+00 2.221955069648467312e-02
2.987332517536573917e+00 2.190729033207676826e-02
3.053177443896525567e+00 2.175513513626067819e-02
3.117690925020495829e+00 2.150018809150187199e-02
3.180940774616039857e+00 2.150118755123150982e-02
3.242989937317803939e+00 2.139148083632815694e-02
3.303896834397137550e+00 2.122536945354451532e-02
3.363715371277618438e+00 2.129915785677132661e-02
3.422496112621693953e+00 2.119272095141426504e-02
3.480285633826453839e+00 2.125343657971828087e-02
3.537128066258332204e+00 2.121468552190743442e-02
3.593063403617509977e+00 2.119010153322380477e-02
3.648130107928447607e+00 2.115315916787384107e-02
3.702363465678729426e+00 2.111100549928198941e-02
3.755797137841150324e+00 2.101895871391104217e-02
3.808461836380983900e+00 2.106964637423688197e-02
3.860387224649882487e+00 2.091574275665661689e-02
3.911600080487440234e+00 2.085568841569798021e-02
3.962127205300935540e+00 2.091779593312343907e-02
4.011992704145277422e+00 2.102823615800060095e-02
4.061219658306713498e+00 2.104734174628204377e-02
4.109830016813260656e+00 2.112831443673334961e-02
4.157843163178149837e+00 2.127243978572003827e-02
4.205280109337573791e+00 2.176419818824029684e-02
4.252158072291102542e+00 2.241101002741765352e-02
4.298495508027899703e+00 2.305419694414785267e-02
4.344308416476979851e+00 2.321366500868352056e-02
4.389612736036864860e+00 2.320612952162339968e-02
4.434423467071558100e+00 2.311254717935565250e-02
4.478754942505024594e+00 2.295694895340547395e-02
4.522620850310969942e+00 2.282514567857372653e-02
4.566034007875804157e+00 2.264663392736156536e-02
4.609006842149123706e+00 2.227350679703983191e-02
4.651551483140882404e+00 2.194916414352591355e-02
4.693678774163734246e+00 2.190679655424923600e-02
4.735399926148511796e+00 2.188618051226946110e-02
4.776725261917027510e+00 2.181384093459630066e-02
4.817664614799937794e+00 2.197273079143936825e-02
4.858227506593395972e+00 2.146184071333105681e-02
4.898423151543096488e+00 2.133326749285497162e-02
4.938260286581308556e+00 2.161809331397878189e-02
4.977747382468072246e+00 2.144986669132828080e-02
