wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.079239588065125849e-02
5.642911115131238331e-01 2.081089314535667159e-02
5.870013853248688962e-01 2.116043992722248246e-02
6.125336538486810811e-01 2.081347815500408927e-02
6.414632903800252528e-01 2.078448021769397844e-02
6.744894291825173083e-01 2.078287545793274654e-02
7.125002536859746938e-01 2.081622487930770080e-02
7.565867704389196424e-01 2.083474245508603814e-02
8.080589516220738622e-01 2.081726444128654402e-02
8.683979561272089365e-01 2.097888170098069147e-02
9.390888561581521854e-01 2.205074197417623491e-02
1.021271966702864686e+00 2.086108666079900670e-02
1.115214937628433267e+00 2.153810124136459198e-02
1.219857922129905070e+00 2.122366756252224221e-02
1.332792235997658281e+00 2.126075813823362012e-02
1.450845292184156810e+00 2.169844241894288220e-02
1.570915581062646504e+00 2.167352708923762569e-02
1.690554234347835028e+00 2.118081461697007839e-02
1.808123132405085043e+00 2.182903781214198813e-02
1.922676892879574773e+00 2.136975718800523949e-02
2.033758224300399764e+00 2.198787154625129331e-02
2.141219707059230259e+00 2.104722121650580424e-02
2.236615816101174214e+00 2.090890801392189871e-02
2.320762858197661593e+00 2.103867121464584114e-02
2.402598987851862322e+00 2.158056385450466894e-02
2.482235071085236111e+00 2.107436224980210882e-02
2.559787358519741929e+00 2.276563029453333026e-02
2.635367836489433735e+00 2.209686361741568586e-02
2.709086890079174026e+00 2.259593384643973635e-02
2.781048130202715463e+00 2.169809731315597637e-02
2.851349759721366173e+00 2.203518273545078052e-02
2.920082815573841639e+00 2.240618056557837010e-02
2.987332517536573917e+00 2.295808735148726146e-02
3.053177443896525567e+00 2.317112030774964512e-02
3.117690925020495829e+00 2.207781717629745885e-02
3.180940774616039857e+00 2.164725387855748889e-02
3.242989937317803939e+00 2.225156299747329744e-02
3.303896834397137550e+00 2.155755026450062450e-02
3.363715371277618438e+00 2.111358491301307608e-02
3.422496112621693953e+00 2.138754584420069979e-02
3.480285633826453839e+00 2.186791063278201511e-02
3.537128066258332204e+00 2.118925095633460501e-02
3.593063403617509977e+00 2.176569646615027567e-02
3.648130107928447607e+00 2.126476617431210386e-02
3.702363465678729426e+00 2.144628629230698608e-02
3.755797137841150324e+00 2.176907377171201710e-02
3.808461836380983900e+00 2.140390999007346640e-02
3.860387224649882487e+00 2.105019411462990056e-02
3.911600080487440234e+00 2.193207588365338884e-02
3.962127205300935540e+00 2.097409698050791901e-02
4.011992704145277422e+00 2.156621445952494262e-02
4.061219658306713498e+00 2.152759200183603644e-02
4.109830016813260656e+00 2.161878845049788542e-02
4.157843163178149837e+00 2.103836266008563688e-02
4.205280109337573791e+00 2.137835261798513853e-02
4.252158072291102542e+00 2.223919583563662566e-02
4.298495508027899703e+00 2.208255710004989117e-02
4.344308416476979851e+00 2.090002023320190749e-02
4.389612736036864860e+00 2.155591461044485332e-02
4.434423467071558100e+00 2.115748375909888568e-02
4.478754942505024594e+00 2.163835128599369759e-02
4.522620850310969942e+00 2.098577329004869957e-02
4.566034007875804157e+00 2.209926971893095768e-02
4.609006842149123706e+00 2.155521198503723701e-02
4.651551483140882404e+00 2.176226138788067352e-02
4.693678774163734246e+00 2.083934178364555204e-02
4.735399926148511796e+00 2.100488862416874727e-02
4.776725261917027510e+00 2.406395546367834370e-02
4.817664614799937794e+00 2.135431412113208624e-02
4.858227506593395972e+00 2.104580799796284749e-02
4.898423151543096488e+00 2.111363357305925254e-02
4.938260286581308556e+00 2.199386481440653365e-02
4.977747382468072246e+00 2.131780134637632773e-02
